Case,Real,Simulated
Random intercepts,31 (68),25 (68)
,35 (68),24 (68)
Nested effect,42 (73),28 (73)
,53 (73),27 (73)
Random slopes,48 (127),37 (127)
,69 (127),41 (127)
2 way interactions,134 (769),94 (787)
,336 (786),194 (787)
3 way interactions,159 (3007),108 (3720)
,449 (3573),263 (3723)
Everything,183 (3071),135 (3784)
,529 (3637),345 (3787)
