Case,Real,Simulated
Random intercepts,26 (4101),18 (4101)
,35 (4101),16 (4101)
Nested effect,63 (4115),26 (4115)
,95 (4115),22 (4115)
Random slopes,86 (5229),53 (5229)
,151 (5229),33 (5229)
Nested random slopes,98 (5243),60 (5243)
,182 (5243),45 (5243)
2 way interactions,94 (19523),36 (23528)
,123 (89385),37 (97930)
3 way interactions,97 (27588),36 (31589)
,127 (159633),38 (168068)
Everything,131 (28730),55 (32731)
,266 (160775),59 (169210)
