Case,Real,Simulated
Random intercepts,0.32 (8.2e+04),0.40 (6.8e+04)
,0.28 (9.6e+04),0.41 (6.6e+04)
Nested effect,0.24 (1.3e+05),0.49 (9.8e+04)
,0.20 (1.6e+05),0.51 (9.4e+04)
Random slopes,0.31 (3.3e+05),0.32 (2.6e+05)
,0.17 (4.9e+05),0.28 (2.9e+05)
2 way interactions,0.45 (7.5e+06),0.71 (7.0e+06)
,0.20 (2.4e+07),0.32 (1.5e+07)
3 way interactions,0.65 (3.1e+07),1.96 (3.4e+07)
,0.39 (1.3e+08),0.63 (9.2e+07)
Everything,0.57 (4.4e+07),1.49 (5.3e+07)
,0.33 (1.8e+08),0.48 (1.5e+08)
